code,name,latitude,longitude,Z,FindNearestRank,DistanceKilometers,Direction
7040,St-Urbain / Beaubien,45.52951033828327,-73.61067965626717,62,1,9.16046199204558e-003,NE
5003,Place Longueuil,45.52951221728282,-73.51769149303436,13,1,8.01137080215837e-003,N
6186,St-André / Laurier,45.52955900967215,-73.5876018932322,56,1,8.3806613877728e-003,E
6051,de Gaspé / Marmier,45.529686,-73.601728,66,1,1.23685751601827e-002,SE
6137,Gauthier / Papineau,45.52969260094507,-73.56740087270737,44,1,1.34449646119698e-002,NW
6198,Hélène-Baillargeon / St-Denis,45.52974,-73.59527,64,1,7.4845416841015e-003,NE
6140,Marquette / Rachel,45.5298015824607,-73.5702896118164,45,1,6.42302215063717e-003,E
6192,Berri / St-Grégoire,45.529802,-73.591766,61,1,7.81821144980983e-003,E
6129,de Bordeaux / Sherbrooke,45.52997069129102,-73.56305301189423,40,1,6.48223675410955e-003,NW
6271,Casgrain / de Bellechasse,45.529993,-73.604214,63,1,3.76625369987835e-003,E
6170,de Mentana / Laurier,45.530046,-73.58677,54,1,9.53166196721631e-003,SE
6503,Métro Parc  (Ogilvy / Hutchison),45.53035130173597,-73.6243924498558,56,1,7.39016041679798e-003,N
6747,Waverly / St-Zotique,45.53050525974957,-73.61470833420753,60,1,1.1790923039732e-002,SW
6122,"Logan / d'Iberville",45.53057,-73.54913,21,1,6.74605102029694e-003,NW
6158,Gilford / de Brébeuf,45.53081622781595,-73.58162596821785,50,1,3.69497119604277e-003,NW
6168,Marmier / St-Denis,45.530871318676006,-73.59834551811218,65,1,4.32670594301086e-003,S
6155,Garnier / du Mont-Royal,45.53092,-73.57674,48,1,1.11964680230465e-002,SE
6274,de la Roche / St-Joseph,45.531164,-73.583695,50,1,1.04727783973774e-002,NW
6338,Ball / Querbes,45.53120329140607,-73.63214671611786,53,1,7.16196758502685e-003,NE
6906,Métro Rosemont (Rosemont / de St-Vallier),45.53132719875296,-73.59788820147514,65,1,8.86093489097791e-003,S
6191,St-Zotique / Clark,45.531401,-73.612674,60,1,6.90956805556051e-003,NW
6929,St-André / St-Grégoire,45.531411853692525,-73.59174862504005,61,1,8.20931850515602e-003,NE
6138,Gauthier / De Lorimier,45.531818,-73.565317,43,1,1.00165099364395e-002,NW
6711,Alexandra / Waverly,45.531938,-73.617842,58,1,9.09991336823023e-003,SW
6124,Poupart / Ontario,45.53193889278052,-73.55343863368034,19,1,1.07124905347706e-002,SW
6237,de Lanaudière / Gilford,45.53198492626314,-73.58067512512207,50,1,1.16116429091456e-002,N
6126,Rouen / Fullum,45.53217,-73.55859,24,1,1.03404590986748e-002,S
6024,Messier / Hochelaga,45.532227058311776,-73.56061805854551,33,1,7.20044755117539e-003,N
6141,de Bordeaux / Rachel,45.53227,-73.56828,45,1,4.79967697639758e-003,NW
6247,St-Dominique / St-Zotique,45.53228145673193,-73.61099146306515,60,1,4.06971062691756e-003,W
6154,Marquette / du Mont-Royal,45.53229,-73.57544,48,1,1.82591155658683e-003,E
7042,Alexandra / Jean Talon,45.532330645908054,-73.62018674612045,57,1,4.64645721188968e-003,S
6139,des Érables / Gauthier,45.53240768,-73.5647763,42,1,1.0329335506766e-002,N
6915,Alma / Beaubien,45.53243586450861,-73.60665500164032,61,1,7.18520796510499e-003,N
6165,de Brébeuf / Laurier,45.53248,-73.58507,51,1,5.88530774543483e-003,E
6153,Cartier / Marie-Anne,45.532674,-73.571776,46,1,8.59985281671339e-003,NW
6164,Chambord / Laurier,45.532929543795944,-73.58415059745312,50,1,1.90076523327892e-003,SW
6160,Garnier / St-Joseph,45.5329774553515,-73.58122229576111,50,1,7.09156655285918e-003,S
